mev,hash,CTA,status,eoa,block_number,gas_price,gas_used,revenue,protocols,actions,contract,proxy_impl,inserted_at
49,0x6c8fc1d589e8cc455f1e5079e6743cb78e53b0ca123af261e6cab06ef0e7433d,,Success,0x000000000fc0123d4ee0923c55eb5ed6123de7be,11006509,70000007000,1187323,0,{},{},0x5d462da79064c82004ac913179558c3106255d5b,0x69f1bd9dfb2feaf57c471e0b8660d376417d08e7,2020-12-01T23:25:50.119869Z
52,0x098df06a1188e629ebdc5253fd97d841d6dda72e53975377062685c9c711017e,,Success,0x000000000fc0123d4ee0923c55eb5ed6123de7be,11054594,100000007000,1258683,0,{},{},0x5d462da79064c82004ac913179558c3106255d5b,0x69f1bd9dfb2feaf57c471e0b8660d376417d08e7,2020-12-01T23:25:50.119869Z
18,0x82b4b10f7a21c918cc6ebd5088d625af5c0c0a165397be95f9fa5d50ad1468a6,,Success,0x000000000fc0123d4ee0923c55eb5ed6123de7be,11085626,25000000700,463525,0,{},{},0x5d462da79064c82004ac913179558c3106255d5b,0x69f1bd9dfb2feaf57c471e0b8660d376417d08e7,2020-12-01T23:25:50.119869Z
18,0x523685868319521a0dc8374a56b78bf3166d55cd8e2ed1f01f933b1f59e89a05,,Success,0x000000000fc0123d4ee0923c55eb5ed6123de7be,11085741,42000000770,463525,0,{},{},0x5d462da79064c82004ac913179558c3106255d5b,0x69f1bd9dfb2feaf57c471e0b8660d376417d08e7,2020-12-01T23:25:50.119869Z
19,0x5639acdc3b338eaa07c3736a43043289dfddd3fae28c6db66b60f9083338960e,,Success,0x000000000fc0123d4ee0923c55eb5ed6123de7be,11085820,42000001459,469701,0,{},{},0x5d462da79064c82004ac913179558c3106255d5b,0x69f1bd9dfb2feaf57c471e0b8660d376417d08e7,2020-12-01T23:25:50.119869Z
19,0xfae5a110598b403be373e7c284e28d91cb608d6531d06ec1f4d6f73329b536ce,,Success,0x000000000fc0123d4ee0923c55eb5ed6123de7be,11091667,45000001459,471907,0,{},{},0x5d462da79064c82004ac913179558c3106255d5b,0x69f1bd9dfb2feaf57c471e0b8660d376417d08e7,2020-12-01T23:25:50.119869Z
20,0x8fbec3a1d3de5aae038e4cbdbb3d210813672779e45f0025c3de014334d7c5d5,Frogswap aggregation,Success,0x01e9d1c4dadba614ff751c208df3bc07e03a6a32,11024963,75000000000,1754062,0,{},{},0x54d8bef6b4b57d18936802f57e745dc6bf0e6286,,2020-12-01T23:25:50.119869Z
70,0x5289be4d3d4388a26a5ac7ce97468bf27fc10032c9bf12e42d694d088509a8a1,Frogswap aggregation,Success,0x01e9d1c4dadba614ff751c208df3bc07e03a6a32,11024964,75000000000,5953090,0,{},{},0x54d8bef6b4b57d18936802f57e745dc6bf0e6286,,2020-12-01T23:25:50.119869Z
50,0x1344a85846f5926be8242a2fd64a894366fa587ca48cea187e3a63d3976268f3,Frogswap aggregation,Success,0x01e9d1c4dadba614ff751c208df3bc07e03a6a32,11024997,75000000000,4267470,0,{},{},0x54d8bef6b4b57d18936802f57e745dc6bf0e6286,,2020-12-01T23:25:50.119869Z
95,0x597a0ff163dfca1a0efaca8e9c4ba3f412f5c59a6abaf3c87da292988bf508d0,Frogswap aggregation,Success,0x01e9d1c4dadba614ff751c208df3bc07e03a6a32,11025132,75000000000,8075115,0,{},{},0x54d8bef6b4b57d18936802f57e745dc6bf0e6286,,2020-12-01T23:25:50.119869Z
29,0x23254c57c7cebc492fb86e2136fbf4aebf9158ddefe29b686011fb5648f4298e,,Success,0x057580a883125c89de7fe712a2a0739dc95bd480,11040843,51746987951,708384,0,{uniswappy},{},0xc5afc0f61691236f14f389f41f848a27d13bf083,,2020-12-01T23:25:50.119869Z
9,0x032914e1a83aca988840a20985702a1cc60f7d8471ba1b589abdeebd219515da,,Checked,0x06fda5b767c8b6171045e6549aab369a9dea36fc,11003956,3139442778010,208371,0,"{uniswap,dydx}",{},0x6780846518290724038e86c98a1e903888338875,0x707ccb0d183efb1df6324196e83e9c52be9c8b6c,2020-12-01T23:25:50.119869Z
8,0x55c13f044896338c56b4d4a235c79bf3c181d28b2a52d5f1958c5d673b6f0c29,,Success,0x06fda5b767c8b6171045e6549aab369a9dea36fc,11004565,120900000000,211695,0,{dydx},{},0x6780846518290724038e86c98a1e903888338875,0x707ccb0d183efb1df6324196e83e9c52be9c8b6c,2020-12-01T23:25:50.119869Z
10,0x8a9e5c9d865d50a63c201e229fad750fa3fd945f8b5fe9766235ca00f5aa8dc7,,Success,0x06fda5b767c8b6171045e6549aab369a9dea36fc,11020727,127800004892,234886,0,{},{},0x6780846518290724038e86c98a1e903888338875,0x707ccb0d183efb1df6324196e83e9c52be9c8b6c,2020-12-01T23:25:50.119869Z
11,0x8f9afe2bbe560671b367f0ca9f891af6945b854a2fa197577ad006f10450587f,,Success,0x06fda5b767c8b6171045e6549aab369a9dea36fc,11077709,285763204984,285221,0,{},{},0x6780846518290724038e86c98a1e903888338875,0x707ccb0d183efb1df6324196e83e9c52be9c8b6c,2020-12-01T23:25:50.119869Z
9,0x72ba5fa4c91ebc8b43c193f265131eb4b54383a75c796a16b5c5edd9badd1b10,,Success,0x06fda5b767c8b6171045e6549aab369a9dea36fc,11083048,205798630811,209232,0,{dydx},{},0x6780846518290724038e86c98a1e903888338875,0x707ccb0d183efb1df6324196e83e9c52be9c8b6c,2020-12-01T23:25:50.119869Z
33,0xe05144bb697762669219d87930d2ecf1fab40044766a90c2ab1e5cc3d382a6b2,,Success,0x0a80c3c540eef99811f4579fa7b1a0617294e06f,11053239,84000000000,1996359,0,"{aave,dydx}",{},0x9ccf93089cb14f94baeb8822f8ceffd91bd71649,0xe8e01964341c29b21e8e8837fd1726da0843958d,2020-12-01T23:25:50.119869Z
8,0x1945763eba804239bbbfc88588f1fcede8f820c8878b8339ded28f622b9df41f,,Success,0x0c360783dc685cb74312061db220ba79c973a2c7,11046088,201000000000,236633,0,{uniswappy},{},0x150d7f02cdc552301095cdd09a90adfb1819c0e0,,2020-12-01T23:25:50.119869Z
8,0xe64243a6268bcbec33c798bb86800f1de7c5709f1095204b2b2f3564c5f79bc4,,Success,0x0c360783dc685cb74312061db220ba79c973a2c7,11054761,201000000000,204012,0,{uniswappy},{},0x150d7f02cdc552301095cdd09a90adfb1819c0e0,,2020-12-01T23:25:50.119869Z
8,0xae46fdbceeb62973eb15ac9123a6dfa1a76ab39d0f075a1310a3493b385fbf72,,Success,0x0c360783dc685cb74312061db220ba79c973a2c7,11056990,201000000000,204000,0,{uniswappy},{},0x150d7f02cdc552301095cdd09a90adfb1819c0e0,,2020-12-01T23:25:50.119869Z
8,0xae346164b7fc94338bcb75be0e6981de836b8e8122fcd259efe462790961a3d7,,Success,0x0c360783dc685cb74312061db220ba79c973a2c7,11059154,201000000000,204012,0,{uniswappy},{},0x150d7f02cdc552301095cdd09a90adfb1819c0e0,,2020-12-01T23:25:50.119869Z
9,0x3c9cc19f72ff3863d9f6d228cbea13a9e95224c869d293bff69bc23181d03d99,,Success,0x0c360783dc685cb74312061db220ba79c973a2c7,11093977,197400000000,225935,0,{uniswappy},{},0x150d7f02cdc552301095cdd09a90adfb1819c0e0,,2020-12-01T23:25:50.119869Z
29,0x00a2c46b84d20b2aeea74baf6aa9edad9ccbb083e3a2193c6a9e3875759e3464,,Success,0x0d0356399100e5a27f672116ee9c370d80da46a2,11078448,24550000000,706284,0,{uniswappy},{},0xae96b28446389b3730d5b322c84a6287d9e563ed,,2020-12-01T23:25:50.119869Z
12,0x9d4b6ed27cdd91d2ba2e5755363c58f6e52421b26e58772823a24d0e411c0a29,,Success,0x0d0356399100e5a27f672116ee9c370d80da46a2,11078525,21762886597,291480,0,{uniswappy},{},0xae96b28446389b3730d5b322c84a6287d9e563ed,,2020-12-01T23:25:50.119869Z
11,0x96611159fddf2cf6c01f9f3032f9a6234026fd7cb388521ecfa95c498143c8ef,,Checked,0x0ef3794cb89864337e15a9f077020c285ef0989b,11332978,364000000000,267577,0,{uniswappy},{},0x6780846518290724038e86c98a1e903888338875,0x0445174d94a6af9d3e76ef664cb1877aba8bf900,2020-12-01T23:25:50.119869Z
40,0x488ab36260a056d5958b5032889688ba24430d5b22a2c2bfde86bbf2047b84e8,,Success,0x1025052a694e48fbaaca0826465ef25caefd2146,11004427,68205099994,824511,0,{dydx},{},0xda9079aa12d366c75e28d664428e543f9f866b5d,,2020-12-01T23:25:50.119869Z
20,0xcbd262fede67e609f3d5cd450937d2e3856cb9a801dce2120ae61a9277d54536,,Success,0x12eccbd6e187172da6810fc5dc7ce6c60d6d4d54,11333181,401000000000,508245,0,{},{},0x6b093998d36f2c7f0cc359441fbb24cc629d5ff0,0xfb772316a54dcd439964b561fc2c173697aeeb5b,2020-12-01T23:25:50.119869Z
10,0x76cbf0eb9168406a61d66e557db665295d770495bc078ba97cf99ff453f610b4,,Success,0x12eccbd6e187172da6810fc5dc7ce6c60d6d4d54,11009596,92000000000,294320,0,{},{},0x32e4c68b3a4a813b710595aeba7f6b7604ab9c15,0xd172991bcac4bd80e04d3e267513dd4ef88ccfe7,2020-12-01T23:25:50.119869Z
29,0x329c0479c74e5d287ffff54e21e4ee3cdbc09cd48bfb5a8ad674e9a1e4ea41f5,,Success,0x156e3abb4b5910bdca9884147d26c01e88fa07c8,11078312,20152224824,706284,0,{uniswappy},{},0x18130c522f75050c1a42ab25619863497f8894fb,,2020-12-01T23:25:50.119869Z
15,0xed8707b2bd51d7c78f9426eb3e89ebf63469eddd43ff49c50365b8d562a714cb,,Success,0x156e3abb4b5910bdca9884147d26c01e88fa07c8,11078320,20645000000,362140,0,{uniswappy},{},0x18130c522f75050c1a42ab25619863497f8894fb,,2020-12-01T23:25:50.119869Z
9,0xefd9fefa08b87cf8a2e5dd86dfdcee7590d35bf0831c9a00a1ea919dd717dd64,,Success,0x19d434f2a935b32b1247a91a9183ba8d6e7a375b,11004193,302000000000,238379,0,{},{},0xd8ee69652e4e4838f2531732a46d1f7f584f0b7f,0xf6eb94e64fc7789a57fdf89fe2ffd2eb39b252e4,2020-12-01T23:25:50.119869Z
9,0x83e604921cb77f198103ada09d9471a2b7bc16be3fcaa89328a0b84acaacec87,,Success,0x19d434f2a935b32b1247a91a9183ba8d6e7a375b,11004199,206000000000,238450,0,{},{},0xd8ee69652e4e4838f2531732a46d1f7f584f0b7f,0xf6eb94e64fc7789a57fdf89fe2ffd2eb39b252e4,2020-12-01T23:25:50.119869Z
9,0xa9d1cd4a19db10259ece8d4b5b635f94b5e53381fc145a0da18737be73761257,,Success,0x19d434f2a935b32b1247a91a9183ba8d6e7a375b,11004306,200000000000,228285,0,{},{},0xd8ee69652e4e4838f2531732a46d1f7f584f0b7f,0xf6eb94e64fc7789a57fdf89fe2ffd2eb39b252e4,2020-12-01T23:25:50.119869Z
9,0x93d714ae462299ba416c4868a875e16e2b4ecbb4a7984b75c6caf292edb5b72b,,Success,0x19d434f2a935b32b1247a91a9183ba8d6e7a375b,11004312,200000000000,230197,0,{},{},0xd8ee69652e4e4838f2531732a46d1f7f584f0b7f,0xf6eb94e64fc7789a57fdf89fe2ffd2eb39b252e4,2020-12-01T23:25:50.119869Z
9,0x52ca4afe5fea390bf9f4ec341f1b3585f6c7c53564811e02466ed218172a3921,,Success,0x19d434f2a935b32b1247a91a9183ba8d6e7a375b,11004319,199000000000,228780,0,{},{},0xd8ee69652e4e4838f2531732a46d1f7f584f0b7f,0xf6eb94e64fc7789a57fdf89fe2ffd2eb39b252e4,2020-12-01T23:25:50.119869Z
10,0x252a04107675a30f78f0a406a587fe40283c7b7ea6e8cba9c0dfba4f74a3c72b,,Success,0x19d434f2a935b32b1247a91a9183ba8d6e7a375b,11004323,173000000000,254289,0,{},{},0xd8ee69652e4e4838f2531732a46d1f7f584f0b7f,0xf6eb94e64fc7789a57fdf89fe2ffd2eb39b252e4,2020-12-01T23:25:50.119869Z
9,0x34923e45768f3a2b43148504c82515d57430585523cbf52ce7d2505d77e556af,,Success,0x19d434f2a935b32b1247a91a9183ba8d6e7a375b,11004483,182000000000,243714,0,{},{},0xd8ee69652e4e4838f2531732a46d1f7f584f0b7f,0xf6eb94e64fc7789a57fdf89fe2ffd2eb39b252e4,2020-12-01T23:25:50.119869Z
12,0xba4870ddce27510bfd7026642bacfcef71e1ae4f1b1e132de5cf263bf2643b5a,,Success,0x1c8f6a5f009e051cab9c3851ca2da2c936b2775a,11332926,175000000001,295783,0,{},{},0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0xd6f18ca30f3bfeb77738657b3ea622efd4fbe124,2020-12-01T23:25:50.119869Z
29,0x1714bcddc9b013c18fc61748d06c4e4122f95fa71970bc24ff2354254cec4fcd,,Success,0x1feaabb08942c110e521c72060619b9f4b372379,11080695,30630252100,702984,0,{uniswappy},{},0xf598b60767f9f1c6ac4b9b6027951385ee969547,,2020-12-01T23:25:50.119869Z
14,0xda45ee9bb3c00a9bc2d51959280eaf2937cdccf1eea295e068c64ebfd4e68480,,Success,0x1feaabb08942c110e521c72060619b9f4b372379,11080770,41721649484,347320,0,"{uniswap,uniswappy}",{},0xf598b60767f9f1c6ac4b9b6027951385ee969547,,2020-12-01T23:25:50.119869Z
16,0xf29de6ae64751dd274b71d2fd948c617ffb1c7f486fa5374edc0ef9f826b7560,,Success,0x1feaabb08942c110e521c72060619b9f4b372379,11080775,41721649484,401875,0,{uniswappy},{},0xf598b60767f9f1c6ac4b9b6027951385ee969547,,2020-12-01T23:25:50.119869Z
100,0x754072cd01209138aec0267d8cd6af674f53a61cd1cd316d4e06af01657b7106,,Success,0x203491217535535c357d206f0fb0dc8802f573ac,11006660,36010000000,2720194,0,{},{},0x88889bd5e47a7e1c587273e0d496ce60ed5d6338,,2020-12-01T23:25:50.119869Z
11,0xc0e1f90e82c59bf64602fa8b39e6170ed29e636c0615b456215f3f09c1b3d480,,Success,0x203491217535535c357d206f0fb0dc8802f573ac,11078369,16010000000,4149815,0,{},{},0x88889bd5e47a7e1c587273e0d496ce60ed5d6338,,2020-12-01T23:25:50.119869Z
16,0xdb9e32a792fa7fabf4b50ebb023414e8d4ecdbf2e9b385c5976dd3c2e0163269,,Success,0x21f179df331cdc8583373ca5925bf386880cf49e,11011692,198675194158,387863,0,{},{},0xe33c8e3a0d14a81f0dd7e174830089e82f65fc85,0xaaf0e98629e639703dbf6133836bed7cdfc556cd,2020-12-01T23:25:50.119869Z
16,0xdc10f4976328fe5fb9df4cbafd018d262b44d63a8d7f4250dacc03a9ff37842b,,Success,0x21f179df331cdc8583373ca5925bf386880cf49e,11021179,93885000000,459213,0,{},{},0xe33c8e3a0d14a81f0dd7e174830089e82f65fc85,0x398c39714e3c6f9f6f967bb81556e529db5078a9,2020-12-01T23:25:50.119869Z
14,0x36c3ee5eecca78bfafcb585998ca01aa9ac4cabb0cc1348262e248e79e194d1f,,Success,0x21f179df331cdc8583373ca5925bf386880cf49e,11043403,220000000000,418121,0,{},{},0xe33c8e3a0d14a81f0dd7e174830089e82f65fc85,0x398c39714e3c6f9f6f967bb81556e529db5078a9,2020-12-01T23:25:50.119869Z
15,0xa680e560599a7eb22925ddc4e99281bbeed2510161ac1666e3cae9bc4fa769d4,,Success,0x23aeaac1c5dd33076d9059f9e651b5d05c84e7a0,11005609,108010000000,310528,0,{},{},0xe38e89dcc3bbc1201935d10c5985163a1236548a,,2020-12-01T23:25:50.119869Z
15,0x7a338db31f0a43ffc407eb05659e30fdebe6ab00a45484ab9d029c501e7db729,,Success,0x23aeaac1c5dd33076d9059f9e651b5d05c84e7a0,11037716,47010000000,310522,0,{},{},0xe38e89dcc3bbc1201935d10c5985163a1236548a,,2020-12-01T23:25:50.119869Z
15,0x7869e998895591adafedd50be62db764458a2ae1449b4e40d6b1d39f8cf37990,,Success,0x23aeaac1c5dd33076d9059f9e651b5d05c84e7a0,11076883,39110000000,310183,0,{},{},0xe38e89dcc3bbc1201935d10c5985163a1236548a,,2020-12-01T23:25:50.119869Z
15,0x3a4c184bc3a320d269a284dd688a2ff97aa1b00706b34042bc4f9705e63273ed,,Success,0x23aeaac1c5dd33076d9059f9e651b5d05c84e7a0,11083330,54010000000,310542,0,{},{},0xe38e89dcc3bbc1201935d10c5985163a1236548a,,2020-12-01T23:25:50.119869Z
15,0x1242b0fbb878806c21362b528ace95f36dddfb171ce6219c44b8b16f22c294de,,Success,0x23aeaac1c5dd33076d9059f9e651b5d05c84e7a0,11089918,49010000000,310537,0,{},{},0xe38e89dcc3bbc1201935d10c5985163a1236548a,,2020-12-02T00:19:44.356521Z
19,0xe819ca1e59274e729c98dac59aa2dc8888bfb93b452760b0f22f69eb07751d44,weird Kyber / Bancor pool reward trade,Success,0x23e28b5adbdf08319b4919471cdb0551f0c64dfe,11332719,99590175511,470018,0,{},{},0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0x2538d9a296e3126aba549a328df0300d7b2ad372,2020-12-01T23:25:50.119869Z
14,0xbb476d6f8a937fd84b8fe601f53a646349669068483271d42acb2527aa7e1c43,weird Kyber trade but there's some Mooniswap in there?,Success,0x23e28b5adbdf08319b4919471cdb0551f0c64dfe,11332727,98000100000,356743,0,{},{},0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0x9b3684cf81f019351896ba7f0642c55c6170954b,2020-12-01T23:25:50.119869Z
19,0xca34516967f5aed35e4f913239c6f38f8fd0b09f6b49a26d81a2479ab549bf9d,,Success,0x23e28b5adbdf08319b4919471cdb0551f0c64dfe,11333690,126811000000,471353,0,{},{},0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0x31e1c8a6efe5c0eb5b0f057e50a71b53b8c905d9,2020-12-01T23:25:50.119869Z
16,0x8b07e3648eb4b317f13f97cc0b468aa732597faf67fd20c0d13f4f3ed4bb8533,,Success,0x23e28b5adbdf08319b4919471cdb0551f0c64dfe,11010079,750000000000,459635,0,{},{},0xe33c8e3a0d14a81f0dd7e174830089e82f65fc85,0x398c39714e3c6f9f6f967bb81556e529db5078a9,2020-12-01T23:25:50.119869Z
13,0x1860bd9acc2f61eee05e0ed4af64c10e5e363a8a3fef91b37dad50c130b2289e,,Success,0x23e28b5adbdf08319b4919471cdb0551f0c64dfe,11042651,220000000000,414654,0,{},{},0xe33c8e3a0d14a81f0dd7e174830089e82f65fc85,0x398c39714e3c6f9f6f967bb81556e529db5078a9,2020-12-01T23:25:50.119869Z
