Swap,ETH -> USDT,,,,,,
,,,,,,,
,,sushi,uni,,,,
,reserveIn,11331.5068,26061.75441,,,,
,reserveOut,27647537.35,63398606.2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
amountIn (eth),amountOut (usdt),Ca,Cb,Cf,Cg,arb amount (usdt),mev (usdt)
0.1,243.2540764,7.14104E+17,7.20537E+17,-6.43289E+15,37247288290,-86547.47,0.00
1,2432.348157,7.14161E+17,7.2048E+17,-6.31913E+15,37248182898,-85011.43,0.00
10,24304.23764,7.14728E+17,7.1991E+17,-5.18194E+15,37257128979,-69668.49,0.00
20,48565.78235,7.15358E+17,7.19278E+17,-3.91945E+15,37267069069,-52657.81,0.00
30,72784.74653,7.15988E+17,7.18646E+17,-2.65807E+15,37277009159,-35686.02,0.00
40,96961.24217,7.16619E+17,7.18016E+17,-1.3978E+15,37286949249,-18753.01,0.00
50,121095.3809,7.17249E+17,7.17387E+17,-138638518013312,37296889339,-1858.67,0.00
60,145187.2739,7.17879E+17,7.16759E+17,1.11943E+15,37306829429,14997.11,11.71
70,169237.032,7.18509E+17,7.16133E+17,2.37639E+15,37316769519,31814.45,52.74
80,193244.7657,7.19139E+17,7.15507E+17,3.63226E+15,37326709609,48593.44,123.19
90,217210.5849,7.19769E+17,7.14882E+17,4.88704E+15,37336649699,65334.20,222.94
100,241134.5995,7.204E+17,7.14259E+17,6.14073E+15,37346589789,82036.82,351.89
110,265016.9186,7.2103E+17,7.13637E+17,7.39334E+15,37356529879,98701.43,509.96
120,288857.6512,7.2166E+17,7.13015E+17,8.64486E+15,37366469969,115328.13,697.03
130,312656.9058,7.2229E+17,7.12395E+17,9.89529E+15,37376410059,131917.01,913.02
140,336414.7905,7.2292E+17,7.11776E+17,1.11447E+16,37386350149,148468.19,1157.81
150,360131.4132,7.23551E+17,7.11158E+17,1.23929E+16,37396290239,164981.77,1431.31
160,383806.8812,7.24181E+17,7.10541E+17,1.36402E+16,37406230329,181457.86,1733.43
170,407441.3015,7.24811E+17,7.09925E+17,1.48863E+16,37416170419,197896.57,2064.07
180,431034.7809,7.25441E+17,7.0931E+17,1.61314E+16,37426110509,214297.98,2423.12
190,454587.4255,7.26071E+17,7.08696E+17,1.73754E+16,37436050599,230662.22,2810.50
200,478099.3414,7.26702E+17,7.08083E+17,1.86183E+16,37445990689,246989.38,3226.10
210,501570.6341,7.27332E+17,7.07472E+17,1.98602E+16,37455930779,263279.57,3669.83
220,525001.4087,7.27962E+17,7.06861E+17,2.11011E+16,37465870869,279532.89,4141.60
230,548391.7701,7.28592E+17,7.06251E+17,2.23408E+16,37475810959,295749.44,4641.30
240,571741.8228,7.29222E+17,7.05643E+17,2.35796E+16,37485751049,311929.32,5168.85
250,595051.6708,7.29852E+17,7.05035E+17,2.48173E+16,37495691139,328072.63,5724.14
260,618321.418,7.30483E+17,7.04429E+17,2.60539E+16,37505631229,344179.48,6307.09
270,641551.1677,7.31113E+17,7.03823E+17,2.72895E+16,37515571319,360249.97,6917.61
280,664741.0229,7.31743E+17,7.03219E+17,2.8524E+16,37525511409,376284.20,7555.58
290,687891.0864,7.32373E+17,7.02616E+17,2.97576E+16,37535451499,392282.27,8220.93
300,711001.4604,7.33003E+17,7.02013E+17,3.099E+16,37545391589,408244.27,8913.57
310,734072.247,7.33634E+17,7.01412E+17,3.22215E+16,37555331679,424170.31,9633.38
